Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C7",1206,4,47uF,C96123
"C2, C6",0603,2,100nF,C14663
C3,0805,1,10uF,C440198
D1,0603,1,KT-0603R,C2286
"D3, D4",SOT-143,2,SP0503BAHTG,C7074
P1,UJ20-C-V-C-3-SMT-TR,1,UJ20-C-V-C-3-SMT-TR,C32689525
"R4, R7, R8",0603,3,100k,C25803
R5,0603,1,10k,C25804
R9,0603,1,0,C21189
SW1,SW_DIP_SPSTx02_Slide_KingTek_DSHP02TJ_W5.25mm_P1.27mm_JPin,1,DSHP02TJGER,C5301819
U1,Texas_RVC0020A_WQFN-20-1EP_3x4mm_P0.5mm_EP1.6x2.6mm,1,TPS25810RVCR,C473913
U3,SOT-23-6,1,TPS2514DBVR,C49754
