Designator,Mid X,Mid Y,Rotation,Layer
C1,103.0,-89.0,270.0,top
C2,105.5,-89.0,270.0,top
C3,113.25,-85.5,0.0,top
C4,99.75,-89.0,270.0,top
C5,96.5,-89.0,270.0,top
C6,111.75,-70.5,270.0,top
C7,96.5,-73.0,90.0,top
D1,101.0,-72.5,180.0,top
FID1,124.5,-69.0,0.0,top
FID2,95.5,-69.0,0.0,top
FID3,124.5,-91.0,0.0,top
H1,100.475,-80.0,0.0,top
H2,119.525,-80.0,0.0,top
H5,124.5,-88.5,0.0,top
H6,98.0,-69.0,0.0,top
P1,110.0,-78.5,90.0,top
R4,109.5,-90.5,180.0,top
R5,101.0,-70.5,0.0,top
R7,120.75,-91.25,180.0,top
R8,116.5,-91.25,0.0,top
SW1,119.5,-87.75,180.0,top
U1,109.0,-87.0,0.0,top
U3,109.0,-70.5,270.0,top
